Date,Ticker,Close,inflation_rate,interest_rate,gdp_growth,unemployment_rate,exchange_rate,FTSE100_Index
2021-12-15,TSCO.L,282.20001220703125,114.7,0.1141,1.3776485546,4.1,1.3214,7170.7998046875
2021-12-16,TSCO.L,282.3999938964844,114.7,0.1141,1.3776485546,4.1,1.3325,7260.60009765625
2021-12-17,TSCO.L,284.3999938964844,114.7,0.1141,1.3776485546,4.1,1.3269,7269.89990234375
2021-12-20,TSCO.L,287.6000061035156,114.7,0.1141,1.3776485546,4.1,1.3222,7198.0
2021-12-21,TSCO.L,288.5,114.7,0.1141,1.3776485546,4.1,1.3253,7297.39990234375
2021-12-22,TSCO.L,287.54998779296875,114.7,0.1141,1.3776485546,4.1,1.3345,7341.7001953125
2021-12-23,TSCO.L,288.3500061035156,114.7,0.1141,1.3776485546,4.1,1.341,7373.2998046875
2021-12-24,TSCO.L,287.8999938964844,114.7,0.1141,1.3776485546,4.1,1.341,7372.10009765625
2021-12-29,TSCO.L,291.04998779296875,114.7,0.1141,1.3776485546,4.1,1.3475,7420.7001953125
2021-12-30,TSCO.L,291.25,114.7,0.1141,1.3776485546,4.1,1.35,7403.0
2021-12-31,TSCO.L,289.8999938964844,114.7,0.1141,1.3776485546,4.1,1.35,7384.5
2022-01-04,TSCO.L,293.95001220703125,114.6,0.1958,1.0133495081,3.9,1.3544,7505.2001953125
2022-01-05,TSCO.L,296.70001220703125,114.6,0.1958,1.0133495081,3.9,1.3573,7516.89990234375
2022-01-06,TSCO.L,292.29998779296875,114.6,0.1958,1.0133495081,3.9,1.3539,7450.39990234375
2022-01-07,TSCO.L,289.04998779296875,114.6,0.1958,1.0133495081,3.9,1.3583,7485.2998046875
2022-01-10,TSCO.L,292.45001220703125,114.6,0.1958,1.0133495081,3.9,1.3567,7445.2998046875
2022-01-11,TSCO.L,292.29998779296875,114.6,0.1958,1.0133495081,3.9,1.3622,7491.39990234375
2022-01-12,TSCO.L,292.25,114.6,0.1958,1.0133495081,3.9,1.3698,7551.7001953125
2022-01-13,TSCO.L,289.70001220703125,114.6,0.1958,1.0133495081,3.9,1.3724,7563.89990234375
2022-01-14,TSCO.L,285.0,114.6,0.1958,1.0133495081,3.9,1.367,7543.0
2022-01-17,TSCO.L,289.45001220703125,114.6,0.1958,1.0133495081,3.9,1.367,7611.2001953125
2022-01-18,TSCO.L,289.54998779296875,114.6,0.1958,1.0133495081,3.9,1.3588,7563.60009765625
2022-01-19,TSCO.L,287.8500061035156,114.6,0.1958,1.0133495081,3.9,1.3625,7589.7001953125
2022-01-20,TSCO.L,287.29998779296875,114.6,0.1958,1.0133495081,3.9,1.3642,7585.0
2022-01-21,TSCO.L,288.75,114.6,0.1958,1.0133495081,3.9,1.3562,7494.10009765625
2022-01-24,TSCO.L,288.20001220703125,114.6,0.1958,1.0133495081,3.9,1.3447,7297.2001953125
2022-01-25,TSCO.L,291.45001220703125,114.6,0.1958,1.0133495081,3.9,1.3495,7371.5
2022-01-26,TSCO.L,295.79998779296875,114.6,0.1958,1.0133495081,3.9,1.3516,7469.7998046875
2022-01-27,TSCO.L,300.0,114.6,0.1958,1.0133495081,3.9,1.3385,7554.2998046875
2022-01-28,TSCO.L,303.3999938964844,114.6,0.1958,1.0133495081,3.9,1.3417,7466.10009765625
2022-01-31,TSCO.L,297.0,114.6,0.1958,1.0133495081,3.9,1.3439,7464.39990234375
2022-02-01,TSCO.L,300.0,115.4,0.4199,1.0133495081,3.8,1.3505,7535.7998046875
2022-02-02,TSCO.L,302.0,115.4,0.4199,1.0133495081,3.8,1.3565,7583.0
2022-02-03,TSCO.L,297.04998779296875,115.4,0.4199,1.0133495081,3.8,1.3602,7528.7998046875
2022-02-04,TSCO.L,295.54998779296875,115.4,0.4199,1.0133495081,3.8,1.3543,7516.39990234375
2022-02-07,TSCO.L,291.3999938964844,115.4,0.4199,1.0133495081,3.8,1.3533,7573.5
2022-02-08,TSCO.L,291.6499938964844,115.4,0.4199,1.0133495081,3.8,1.3552,7567.10009765625
2022-02-09,TSCO.L,293.70001220703125,115.4,0.4199,1.0133495081,3.8,1.354,7643.39990234375
2022-02-10,TSCO.L,297.0,115.4,0.4199,1.0133495081,3.8,1.3636,7672.39990234375
